wt2	ht2	wt9	ht9	lg9	st9	wt18	ht18	lg18	st18	fat
12.6	83.8	33	136.5	29	57	71.2	169.6	38.8	107	6
12	86.2	34.2	137	27.3	44	58.2	166.8	34.3	130	5
10.9	85.1	28.1	129	27.4	48	56	157.1	37.8	101	5
12.7	88.6	27.5	139.4	25.7	68	64.5	181.1	34.2	149	4
11.3	83	23.9	125.6	24.5	22	53	158.4	32.4	112	5
11.8	88.9	32.2	137.1	28.2	59	52.4	165.6	33.8	136	4
15.4	89.7	29.4	133.6	26.6	58	56.8	166.7	32.7	118	4.5
10.9	81.3	22	121.4	24.4	44	49.2	156.5	33.5	110	4
13.2	88.7	28.8	133.6	26.5	58	55.6	168.1	34.1	104	4.5
14.3	88.4	38.8	134.1	31.1	57	77.8	165.3	39.8	138	6.5
11.1	85.1	36	139.4	28.2	64	69.6	163.7	38.6	108	5.5
13.6	91.4	31.3	138.1	27.6	64	56.2	173.7	34.2	134	3.5
13.5	86.1	33.3	138.4	29.4	73	64.9	169.2	36.7	141	5
16.3	94	36.2	139.5	28	52	59.3	170.1	32.8	122	4.5
10.2	82.2	23.4	129.8	22.6	60	49.8	164.2	30	128	4
12.6	88.2	33.8	144.8	28.3	107	62.6	176	35.8	168	5
12.9	87.5	34.5	138.9	30.5	62	66.6	170.9	38.8	126	5
13.3	88.6	34.4	140.4	31.2	88	65.3	169.2	39	142	5
13.4	86.9	38.2	143.8	29.8	78	65.9	172	35.7	132	5.5
12.7	86.4	31.7	133.6	27.5	52	59	163	32.7	116	5.5
12.2	80.9	26.6	123.5	27.2	40	47.4	154.5	32.2	112	4
15.4	90	34.2	139.9	29.1	71	60.4	172.5	35.7	137	4
12.7	94	27.7	136.1	26.7	30	56.3	175.6	34	114	3
13.2	89.7	28.5	135.8	25.5	76	61.7	167.2	35.5	122	4.5
12.4	86.4	30.5	131.9	28.6	59	52.4	164	34.8	121	5
13.4	86.4	39	130.9	29.3	38	58.4	161.6	33	107	6.5
10.6	81.8	25	126.3	25	50	52.8	153.6	33.4	140	5
12.7	91.4	29.8	135.5	27	57	67.4	173.5	34.5	123	5
11.8	88.6	27	134	26.5	54	56.3	166.2	36.2	135	4.5
13.3	86.4	41.4	138.2	32.5	44	82.8	162.8	42.5	125	7
13.2	94	41.6	142	31	56	68.1	168.6	38.4	142	5.5
15.9	89.2	42.4	140.8	32.6	74	63.1	169.2	37.9	142	5.5
